np,n,steps,dt,total_s,comm_s
1,80000,30,0.01,16.4477,0.0000
2,80000,30,0.01,14.4653,0.0153
4,80000,30,0.01,8.1021,0.1275
8,80000,30,0.01,5.0680,0.1023
12,80000,30,0.01,4.0511,0.1011
16,80000,30,0.01,3.5408,0.0975
24,80000,30,0.01,3.0618,0.0814
