rank	compute_s	comm_s	idle_s
0	5.3669	0.0260	0.0091
1	5.3564	0.0260	0.0197
2	5.2833	0.0260	0.0927
3	5.2882	0.0260	0.0878
4	5.3760	0.0260	0.0000
5	5.3723	0.0260	0.0037
6	5.3633	0.0260	0.0128
7	5.3532	0.0260	0.0228
8	5.3054	0.0260	0.0706
9	5.3282	0.0260	0.0478
10	5.3623	0.0260	0.0138
11	5.3544	0.0260	0.0217
# compute imbalance (max-min)/max = 1.7%  -> BALANCED
